d,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft DirectX SDK (March 2009)
f,J:\Program Files\DXSDK\Extras\Symbols\debug\x86\WinXP\dll\dinput8.pdb,AAKEAGAACBAAAAAAPPGBPEMECAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\debug\x86\WinXP\dll\dinput8d.pdb,AAKEAGAACBAAAAAAFLMEPGMECAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\D3DCompiler_41.pdb,AAGMBCAACBAAAAAABCBJDJDGAGKBMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\d3dref9.pdb,AAGMAEAACBAAAAAAAPCEDHMFCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\D3DX10_41.pdb,AACMAFAACBAAAAAABCBJDJDGAGKBMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\D3DX9_41.pdb,AAKMCBAACBAAAAAAIGKCECDGAGKBMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\FirewallInstallHelper.pdb,AAEMABAAIAAAAAAAKJIOBCFBHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\GameuxInstallHelper.pdb,AAOMABAAIAAAAAAADDOLFCFBHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\GDFExampleBinary.pdb,AACMABAAIAAAAAAAKFOCKPFBHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\ProviderGDFExampleBinary.pdb,AACMABAAIAAAAAAAEFEOCCFCHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\TxView.pdb,AAKMABAAIAAAAAAAGFIHIPFFHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\X3DAudio1_0.pdb,AAIMAAAACBAAAAAALPBOLDMFCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\X3DAudio1_1.pdb,AAIMAAAACBAAAAAALPBOLDMFCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\X3DAudio1_2.pdb,AAIMAAAACBAAAAAANDEFLKMFCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\X3DAudio1_3.pdb,AAMMAAAACBAAAAAANDEFLKMFCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\X3DAudio1_4.pdb,AAMMAAAACBAAAAAANDEFLKMFCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\X3DAudio1_5.pdb,AAMMAAAACBAAAAAANDEFLKMFCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\X3DAudio1_6.pdb,AAMMAAAAIAAAAAAAHNAMEPCPHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\X3DAudioD1_6.pdb,AACMABAAIAAAAAAADHDDFGCPHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\XactEngine2_0.pdb,AAOMAFAACBAAAAAACPKILMMFCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\XactEngine2_1.pdb,AAMMAFAACBAAAAAAILAKLPMFCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\XactEngine2_10.pdb,AAMMAGAACBAAAAAAILAKLPMFCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\XactEngine2_2.pdb,AAOMAFAACBAAAAAAOHGMMBMFCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\XactEngine2_3.pdb,AAAMAGAACBAAAAAAEDMPMDMFCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\XactEngine2_4.pdb,AAAMAGAACBAAAAAAEDMPMDMFCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\XactEngine2_5.pdb,AAIMAGAACBAAAAAAJPDBMGMFCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\XactEngine2_6.pdb,AAIMAGAACBAAAAAAPLJDMIMFCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\XactEngine2_7.pdb,AAKMAGAACBAAAAAAFHPGMKMFCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\XactEngine2_8.pdb,AAKMAGAACBAAAAAALDFIMNMFCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\XactEngine2_9.pdb,AAMMAGAACBAAAAAAAPLLMPMFCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\XactEngine3_0.pdb,AACMADAACBAAAAAAAPLLMPMFCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\XactEngine3_1.pdb,AACMADAACBAAAAAAGLBNNCMFCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\XactEngine3_2.pdb,AACMADAACBAAAAAAGLBNNCMFCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\XactEngine3_3.pdb,AACMADAACBAAAAAACDOCNGMFCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\XactEngine3_4.pdb,AACMADAAIAAAAAAABJEICDDFHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\XactEngineA3_4.pdb,AAIMAGAAIAAAAAAAONEIPADFHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\XactEngineD3_4.pdb,AAIMAFAAIAAAAAAALBDMJPDFHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\XAudio2_0.pdb,AAGMAEAACBAAAAAADHAJNOMFCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\XAudio2_1.pdb,AAGMAEAACBAAAAAAOPMNOCMFCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\XAudio2_2.pdb,AAGMAEAACBAAAAAAKHJCOHMFCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\XAudio2_3.pdb,AAGMAEAACBAAAAAALLLJOOMFCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\XAudio2_4.pdb,AAIMAEAAIAAAAAAAPHNHDFDDHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\XAudioD2_4.pdb,AAEMAKAAIAAAAAAAGOGKIEEPHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\XAPOFX1_0.pdb,AACMABAACBAAAAAACDOCNGMFCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\XAPOFX1_1.pdb,AAEMABAACBAAAAAANLKGNLMFCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\XAPOFX1_2.pdb,AAEMABAACBAAAAAANLKGNLMFCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\XAPOFX1_3.pdb,AAEMABAAIAAAAAAAPPPBJICPHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\XAPOFXD1_3.pdb,AAAMACAAIAAAAAAALEKKOLEJHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\XInput1_1.pdb,AAKMABAACBAAAAAABHBMPBMFCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\XInput1_2.pdb,AAKMABAACBAAAAAABHBMPBMFCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\dll\XInput1_3.pdb,AACMACAAIAAAAAAAKDIFDCDEHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\AdvancedParticles.pdb,AAOMADAAIAAAAAAAOJLDEHEBHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\AntiAlias.pdb,AAGMADAAIAAAAAAAKBEOLCDFHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\AudioController.pdb,AAIMABAAIAAAAAAAIBPNNPEOHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\BasicHLSL.pdb,AAGMADAAIAAAAAAAEDBANGDFHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\BasicHLSL10.pdb,AAMMADAAIAAAAAAAAPLBGGEBHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\Blobs.pdb,AAEMADAAIAAAAAAADPGEHDDGHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\Collision.pdb,AAIMADAAIAAAAAAAJLBFAIFCHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\CompiledEffect.pdb,AAEMADAAIAAAAAAAFNOKJLDGHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\ConfigSystem.pdb,AAIMAEAAIAAAAAAACPJFLHDHHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\ContentStreaming.pdb,AAAMAEAAIAAAAAAAIJBPLKEBHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\CoreDetection.pdb,AAMMABAAIAAAAAAAHJKFBKFAHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\CubeMapGS.pdb,AAKMADAAIAAAAAAAJJANKHEBHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\CustomFormat.pdb,AAMMAAAAIAAAAAAAJNAOCGEOHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\CustomUI.pdb,AACMAEAAIAAAAAAACBPNHLDHHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\DDSWithoutD3DX.pdb,AAKMADAAIAAAAAAACDGKOHEBHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\DeferredParticles.pdb,AAOMADAAIAAAAAAAJNPHGLEDHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\DepthOfField.pdb,AAGMADAAIAAAAAAAKLFJLMDHHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\DepthOfField10.1.pdb,AAKMADAAIAAAAAAADHECJJEDHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\DrawPredicated.pdb,AAIMADAAIAAAAAAABPNNLFEDHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\DxCapsViewer.pdb,AAIMACAAIAAAAAAAMNJCBDFFHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\dxcpl.pdb,AAGMADAAIAAAAAAAHJACKOFDHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\DxDiagOutput.pdb,AAGMABAAIAAAAAAACBIIIDFAHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\DxDiagReport.pdb,AAKMADAAIAAAAAAAFJOIHBFBHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\dxerr.pdb,AAGMAHAAIAAAAAAAJDPLKEFFHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\dxtex.pdb,AAMMACAAIAAAAAAALJNJJCFEHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\DXViewer.pdb,AAGMBCAAIAAAAAAAHFPBEAFKHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\DynamicShaderLinkage11.pdb,AAKMADAAIAAAAAAAEHEHEAEOHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\EffectParam.pdb,AAGMADAAIAAAAAAAOPNMADDIHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\EmptyProject.pdb,AACMACAAIAAAAAAALFCGGEDHHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\EmptyProject10.pdb,AAEMACAAIAAAAAAAEHDAIGEDHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\EnhancedMesh.pdb,AAEMADAAIAAAAAAAGDCKBCDIHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\ExampleForFirewallInstall.pdb,AAGMABAAIAAAAAAAMDEJKHFAHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\FFConst.pdb,AAMMAAAAIAAAAAAAMBLFJDEOHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\retail\x64\exe\FixedFuncEMU.pdb,AAKMADAAIAAAAAAACLBPEAEEHKKGMJABAAAAAAAAAAAAAAAA
